###################################
# Exhaustive OKGT fitting
# Start time: 2016-02-04 23:00:14
# Selected model: 3
# Kernel: Gaussian (0.5)
# Training method: vanilla
# Sample size: 500
###################################
98 : ([1, 3, 6], [2], [4, 5]) : 0.9947768536
99 : ([1, 3, 6], [2, 5], [4]) : 0.9946490984
100 : ([1, 3, 6], [2, 4], [5]) : 0.9946441250
101 : ([1, 3, 6], [2], [4], [5]) : 0.9942554597
102 : ([1, 2, 4, 5], [3, 6]) : 0.9989417062
103 : ([1], [2, 4, 5], [3, 6]) : 0.9968104976
104 : ([1, 4, 5], [2], [3, 6]) : 0.9967228740
105 : ([1, 2], [3, 6], [4, 5]) : 0.9987854784
106 : ([1], [2], [3, 6], [4, 5]) : 0.9893508613
107 : ([1, 2, 5], [3, 6], [4]) : 0.9988361969
108 : ([1, 4], [2, 5], [3, 6]) : 0.9790863795
109 : ([1], [2, 5], [3, 6], [4]) : 0.9647659690
110 : ([1, 5], [2, 4], [3, 6]) : 0.9932356448
111 : ([1, 5], [2], [3, 6], [4]) : 0.9920019002
112 : ([1, 2, 4], [3, 6], [5]) : 0.9989296190
113 : ([1], [2, 4], [3, 6], [5]) : 0.9934372215
114 : ([1, 4], [2], [3, 6], [5]) : 0.9748278786
115 : ([1, 2], [3, 6], [4], [5]) : 0.9987962688
116 : ([1], [2], [3, 6], [4], [5]) : 0.9637126666
117 : ([1, 2, 6], [3, 4, 5]) : 0.9988974200
118 : ([1, 2, 6], [3], [4, 5]) : 0.9989145574
119 : ([1, 2, 6], [3, 5], [4]) : 0.9989234133
120 : ([1, 2, 6], [3, 4], [5]) : 0.9989161083
121 : ([1, 2, 6], [3], [4], [5]) : 0.9989249842
122 : ([1, 3, 4, 5], [2, 6]) : 0.9989392289
123 : ([1], [2, 6], [3, 4, 5]) : 0.9981533456
124 : ([1, 4, 5], [2, 6], [3]) : 0.9971133103
125 : ([1, 3], [2, 6], [4, 5]) : 0.9943447216
126 : ([1], [2, 6], [3], [4, 5]) : 0.9943076843
127 : ([1, 3, 5], [2, 6], [4]) : 0.9974787965
128 : ([1, 4], [2, 6], [3, 5]) : 0.9943734108
129 : ([1], [2, 6], [3, 5], [4]) : 0.9942406100
130 : ([1, 5], [2, 6], [3, 4]) : 0.9944551032
131 : ([1, 5], [2, 6], [3], [4]) : 0.9941745657
132 : ([1, 3, 4], [2, 6], [5]) : 0.9976675888
133 : ([1], [2, 6], [3, 4], [5]) : 0.9943393123
134 : ([1, 4], [2, 6], [3], [5]) : 0.9942919034
135 : ([1, 3], [2, 6], [4], [5]) : 0.9941374591
136 : ([1], [2, 6], [3], [4], [5]) : 0.9941191290
137 : ([1, 6], [2, 3, 4, 5]) : 0.9988943643
138 : ([1, 6], [2], [3, 4, 5]) : 0.9981558027
139 : ([1, 6], [2, 4, 5], [3]) : 0.9965815945
140 : ([1, 6], [2, 3], [4, 5]) : 0.9951957830
141 : ([1, 6], [2], [3], [4, 5]) : 0.9892854077
142 : ([1, 6], [2, 3, 5], [4]) : 0.9975657454
143 : ([1, 6], [2, 4], [3, 5]) : 0.9934334085
144 : ([1, 6], [2], [3, 5], [4]) : 0.9906317067
145 : ([1, 6], [2, 5], [3, 4]) : 0.9870931460
146 : ([1, 6], [2, 5], [3], [4]) : 0.9860627159
147 : ([1, 6], [2, 3, 4], [5]) : 0.9977803277
148 : ([1, 6], [2], [3, 4], [5]) : 0.9851595216
149 : ([1, 6], [2, 4], [3], [5]) : 0.9933010746
150 : ([1, 6], [2, 3], [4], [5]) : 0.9950455410
151 : ([1, 6], [2], [3], [4], [5]) : 0.9833853533
152 : ([1, 2, 3, 4, 5], [6]) : 0.9995903211
153 : ([1], [2, 3, 4, 5], [6]) : 0.9989139828
154 : ([1, 3, 4, 5], [2], [6]) : 0.9989497783
155 : ([1, 2], [3, 4, 5], [6]) : 0.9987715643
156 : ([1], [2], [3, 4, 5], [6]) : 0.9981584041
157 : ([1, 2, 4, 5], [3], [6]) : 0.9989465678
158 : ([1, 3], [2, 4, 5], [6]) : 0.9968042469
159 : ([1], [2, 4, 5], [3], [6]) : 0.9969278416
160 : ([1, 4, 5], [2, 3], [6]) : 0.9970239570
161 : ([1, 4, 5], [2], [3], [6]) : 0.9965449289
162 : ([1, 2, 3], [4, 5], [6]) : 0.9994262631
163 : ([1], [2, 3], [4, 5], [6]) : 0.9954068973
164 : ([1, 3], [2], [4, 5], [6]) : 0.9934970823
165 : ([1, 2], [3], [4, 5], [6]) : 0.9987844927
166 : ([1], [2], [3], [4, 5], [6]) : 0.9891697941
167 : ([1, 2, 3, 5], [4], [6]) : 0.9994483118
168 : ([1, 4], [2, 3, 5], [6]) : 0.9977786387
169 : ([1], [2, 3, 5], [4], [6]) : 0.9978313048
170 : ([1, 3, 5], [2, 4], [6]) : 0.9973503756
171 : ([1, 3, 5], [2], [4], [6]) : 0.9974284680
