###################################
# Exhaustive OKGT fitting
# Start time: 2016-02-04 23:00:14
# Selected model: 1
# Kernel: Gaussian (0.5)
# Training method: vanilla
# Sample size: 500
###################################
1 : ([1, 2, 3, 4, 5, 6],) : 0.9996088444
2 : ([1], [2, 3, 4, 5, 6]) : 0.9992892884
3 : ([1, 3, 4, 5, 6], [2]) : 0.9991516572
4 : ([1, 2], [3, 4, 5, 6]) : 0.9991009527
5 : ([1], [2], [3, 4, 5, 6]) : 0.9991046799
6 : ([1, 2, 4, 5, 6], [3]) : 0.9994237255
7 : ([1, 3], [2, 4, 5, 6]) : 0.9988430484
8 : ([1], [2, 4, 5, 6], [3]) : 0.9991012022
9 : ([1, 4, 5, 6], [2, 3]) : 0.9989814348
10 : ([1, 4, 5, 6], [2], [3]) : 0.9989466578
11 : ([1, 2, 3], [4, 5, 6]) : 0.9989225351
12 : ([1], [2, 3], [4, 5, 6]) : 0.9989331497
13 : ([1, 3], [2], [4, 5, 6]) : 0.9986235765
14 : ([1, 2], [3], [4, 5, 6]) : 0.9989891329
15 : ([1], [2], [3], [4, 5, 6]) : 0.9988942216
16 : ([1, 2, 3, 5, 6], [4]) : 0.9992690960
17 : ([1, 4], [2, 3, 5, 6]) : 0.9990651376
18 : ([1], [2, 3, 5, 6], [4]) : 0.9990641217
19 : ([1, 3, 5, 6], [2, 4]) : 0.9989914541
20 : ([1, 3, 5, 6], [2], [4]) : 0.9989853698
21 : ([1, 2, 4], [3, 5, 6]) : 0.9989171619
22 : ([1], [2, 4], [3, 5, 6]) : 0.9988861839
23 : ([1, 4], [2], [3, 5, 6]) : 0.9988576173
24 : ([1, 2], [3, 5, 6], [4]) : 0.9988793508
25 : ([1], [2], [3, 5, 6], [4]) : 0.9988786812
26 : ([1, 2, 5, 6], [3, 4]) : 0.9991467439
27 : ([1, 2, 5, 6], [3], [4]) : 0.9991087420
28 : ([1, 3, 4], [2, 5, 6]) : 0.9991067270
29 : ([1], [2, 5, 6], [3, 4]) : 0.9988653559
30 : ([1, 4], [2, 5, 6], [3]) : 0.9989630829
31 : ([1, 3], [2, 5, 6], [4]) : 0.9986519805
32 : ([1], [2, 5, 6], [3], [4]) : 0.9989706331
33 : ([1, 5, 6], [2, 3, 4]) : 0.9990368328
34 : ([1, 5, 6], [2], [3, 4]) : 0.9989097678
35 : ([1, 5, 6], [2, 4], [3]) : 0.9988603307
36 : ([1, 5, 6], [2, 3], [4]) : 0.9989058983
37 : ([1, 5, 6], [2], [3], [4]) : 0.9988426164
38 : ([1, 2, 3, 4], [5, 6]) : 0.9991475436
39 : ([1], [2, 3, 4], [5, 6]) : 0.9990303894
40 : ([1, 3, 4], [2], [5, 6]) : 0.9990438937
41 : ([1, 2], [3, 4], [5, 6]) : 0.9988739409
42 : ([1], [2], [3, 4], [5, 6]) : 0.9988516481
43 : ([1, 2, 4], [3], [5, 6]) : 0.9989651076
44 : ([1, 3], [2, 4], [5, 6]) : 0.9986212714
