###################################
# Exhaustive OKGT fitting
# Start time: 2016-02-04 23:00:14
# Selected model: 4
# Kernel: Gaussian (0.5)
# Training method: vanilla
# Sample size: 500
###################################
1 : ([1, 2, 3, 4, 5, 6],) : 0.9995757323
2 : ([1], [2, 3, 4, 5, 6]) : 0.9991035316
3 : ([1, 3, 4, 5, 6], [2]) : 0.9984714711
4 : ([1, 2], [3, 4, 5, 6]) : 0.9983885793
5 : ([1], [2], [3, 4, 5, 6]) : 0.9945235359
6 : ([1, 2, 4, 5, 6], [3]) : 0.9988342296
7 : ([1, 3], [2, 4, 5, 6]) : 0.9981893840
8 : ([1], [2, 4, 5, 6], [3]) : 0.9982217984
9 : ([1, 4, 5, 6], [2, 3]) : 0.9974766787
10 : ([1, 4, 5, 6], [2], [3]) : 0.9959990702
11 : ([1, 2, 3], [4, 5, 6]) : 0.9956152439
12 : ([1], [2, 3], [4, 5, 6]) : 0.9913352706
13 : ([1, 3], [2], [4, 5, 6]) : 0.9902532532
14 : ([1, 2], [3], [4, 5, 6]) : 0.9930520309
15 : ([1], [2], [3], [4, 5, 6]) : 0.9881213197
16 : ([1, 2, 3, 5, 6], [4]) : 0.9990779471
17 : ([1, 4], [2, 3, 5, 6]) : 0.9977033785
18 : ([1], [2, 3, 5, 6], [4]) : 0.9977869267
19 : ([1, 3, 5, 6], [2, 4]) : 0.9977200585
20 : ([1, 3, 5, 6], [2], [4]) : 0.9960584596
21 : ([1, 2, 4], [3, 5, 6]) : 0.9957034445
22 : ([1], [2, 4], [3, 5, 6]) : 0.9948847180
23 : ([1, 4], [2], [3, 5, 6]) : 0.9913269354
24 : ([1, 2], [3, 5, 6], [4]) : 0.9949187294
25 : ([1], [2], [3, 5, 6], [4]) : 0.9898495092
26 : ([1, 2, 5, 6], [3, 4]) : 0.9970753902
27 : ([1, 2, 5, 6], [3], [4]) : 0.9963020323
28 : ([1, 3, 4], [2, 5, 6]) : 0.9952293980
29 : ([1], [2, 5, 6], [3, 4]) : 0.9926596192
30 : ([1, 4], [2, 5, 6], [3]) : 0.9908653526
31 : ([1, 3], [2, 5, 6], [4]) : 0.9916972765
32 : ([1], [2, 5, 6], [3], [4]) : 0.9903692035
33 : ([1, 5, 6], [2, 3, 4]) : 0.9961810636
34 : ([1, 5, 6], [2], [3, 4]) : 0.9923101778
35 : ([1, 5, 6], [2, 4], [3]) : 0.9917746465
36 : ([1, 5, 6], [2, 3], [4]) : 0.9913198689
37 : ([1, 5, 6], [2], [3], [4]) : 0.9898353796
38 : ([1, 2, 3, 4], [5, 6]) : 0.9976320460
39 : ([1], [2, 3, 4], [5, 6]) : 0.9903408054
40 : ([1, 3, 4], [2], [5, 6]) : 0.9906548985
41 : ([1, 2], [3, 4], [5, 6]) : 0.9887206714
42 : ([1], [2], [3, 4], [5, 6]) : 0.9872510588
43 : ([1, 2, 4], [3], [5, 6]) : 0.9903506224
44 : ([1, 3], [2, 4], [5, 6]) : 0.9882526687
45 : ([1], [2, 4], [3], [5, 6]) : 0.9871578927
46 : ([1, 4], [2, 3], [5, 6]) : 0.9876121355
47 : ([1, 4], [2], [3], [5, 6]) : 0.9863519941
48 : ([1, 2, 3], [4], [5, 6]) : 0.9911485107
49 : ([1], [2, 3], [4], [5, 6]) : 0.9868847661
50 : ([1, 3], [2], [4], [5, 6]) : 0.9868774807
51 : ([1, 2], [3], [4], [5, 6]) : 0.9869844900
52 : ([1], [2], [3], [4], [5, 6]) : 0.9858180365
53 : ([1, 2, 3, 4, 6], [5]) : 0.9992449669
54 : ([1, 5], [2, 3, 4, 6]) : 0.9968304912
55 : ([1], [2, 3, 4, 6], [5]) : 0.9940660363
56 : ([1, 3, 4, 6], [2, 5]) : 0.9972364637
57 : ([1, 3, 4, 6], [2], [5]) : 0.9957775094
58 : ([1, 2, 5], [3, 4, 6]) : 0.9952738619
59 : ([1], [2, 5], [3, 4, 6]) : 0.9901240049
60 : ([1, 5], [2], [3, 4, 6]) : 0.9908128768
61 : ([1, 2], [3, 4, 6], [5]) : 0.9908906202
62 : ([1], [2], [3, 4, 6], [5]) : 0.9889980997
63 : ([1, 2, 4, 6], [3, 5]) : 0.9965841252
64 : ([1, 2, 4, 6], [3], [5]) : 0.9951629401
65 : ([1, 3, 5], [2, 4, 6]) : 0.9967720031
66 : ([1], [2, 4, 6], [3, 5]) : 0.9922977547
67 : ([1, 5], [2, 4, 6], [3]) : 0.9908906084
68 : ([1, 3], [2, 4, 6], [5]) : 0.9911496964
69 : ([1], [2, 4, 6], [3], [5]) : 0.9890677542
70 : ([1, 4, 6], [2, 3, 5]) : 0.9964548495
71 : ([1, 4, 6], [2], [3, 5]) : 0.9914186074
72 : ([1, 4, 6], [2, 5], [3]) : 0.9906251513
73 : ([1, 4, 6], [2, 3], [5]) : 0.9912568125
74 : ([1, 4, 6], [2], [3], [5]) : 0.9887290037
75 : ([1, 2, 3, 5], [4, 6]) : 0.9981832679
76 : ([1], [2, 3, 5], [4, 6]) : 0.9950318523
77 : ([1, 3, 5], [2], [4, 6]) : 0.9923438553
78 : ([1, 2], [3, 5], [4, 6]) : 0.9909801668
79 : ([1], [2], [3, 5], [4, 6]) : 0.9871332943
80 : ([1, 2, 5], [3], [4, 6]) : 0.9913936595
81 : ([1, 3], [2, 5], [4, 6]) : 0.9878542116
82 : ([1], [2, 5], [3], [4, 6]) : 0.9868595242
83 : ([1, 5], [2, 3], [4, 6]) : 0.9885246961
84 : ([1, 5], [2], [3], [4, 6]) : 0.9869305614
85 : ([1, 2, 3], [4, 6], [5]) : 0.9907106132
86 : ([1], [2, 3], [4, 6], [5]) : 0.9871073457
87 : ([1, 3], [2], [4, 6], [5]) : 0.9869684340
88 : ([1, 2], [3], [4, 6], [5]) : 0.9870041157
89 : ([1], [2], [3], [4, 6], [5]) : 0.9859090131
90 : ([1, 2, 3, 6], [4, 5]) : 0.9974914110
91 : ([1, 2, 3, 6], [4], [5]) : 0.9971702407
92 : ([1, 4, 5], [2, 3, 6]) : 0.9953055698
93 : ([1], [2, 3, 6], [4, 5]) : 0.9911704859
94 : ([1, 5], [2, 3, 6], [4]) : 0.9911138445
95 : ([1, 4], [2, 3, 6], [5]) : 0.9898476931
96 : ([1], [2, 3, 6], [4], [5]) : 0.9887904355
97 : ([1, 3, 6], [2, 4, 5]) : 0.9965467330
98 : ([1, 3, 6], [2], [4, 5]) : 0.9918021134
99 : ([1, 3, 6], [2, 5], [4]) : 0.9930879695
100 : ([1, 3, 6], [2, 4], [5]) : 0.9929511658
101 : ([1, 3, 6], [2], [4], [5]) : 0.9903258561
102 : ([1, 2, 4, 5], [3, 6]) : 0.9982350604
103 : ([1], [2, 4, 5], [3, 6]) : 0.9959376765
104 : ([1, 4, 5], [2], [3, 6]) : 0.9926115728
105 : ([1, 2], [3, 6], [4, 5]) : 0.9914401330
106 : ([1], [2], [3, 6], [4, 5]) : 0.9875049945
107 : ([1, 2, 5], [3, 6], [4]) : 0.9927526827
108 : ([1, 4], [2, 5], [3, 6]) : 0.9886134950
109 : ([1], [2, 5], [3, 6], [4]) : 0.9874610616
110 : ([1, 5], [2, 4], [3, 6]) : 0.9893908646
111 : ([1, 5], [2], [3, 6], [4]) : 0.9878652663
112 : ([1, 2, 4], [3, 6], [5]) : 0.9919465696
113 : ([1], [2, 4], [3, 6], [5]) : 0.9879349443
114 : ([1, 4], [2], [3, 6], [5]) : 0.9872692359
115 : ([1, 2], [3, 6], [4], [5]) : 0.9875344870
116 : ([1], [2], [3, 6], [4], [5]) : 0.9865024851
117 : ([1, 2, 6], [3, 4, 5]) : 0.9982065158
118 : ([1, 2, 6], [3], [4, 5]) : 0.9924172438
119 : ([1, 2, 6], [3, 5], [4]) : 0.9932609628
120 : ([1, 2, 6], [3, 4], [5]) : 0.9933662017
121 : ([1, 2, 6], [3], [4], [5]) : 0.9902182881
122 : ([1, 3, 4, 5], [2, 6]) : 0.9978178035
123 : ([1], [2, 6], [3, 4, 5]) : 0.9964488545
124 : ([1, 4, 5], [2, 6], [3]) : 0.9940784000
125 : ([1, 3], [2, 6], [4, 5]) : 0.9894908532
126 : ([1], [2, 6], [3], [4, 5]) : 0.9885148691
127 : ([1, 3, 5], [2, 6], [4]) : 0.9947384893
128 : ([1, 4], [2, 6], [3, 5]) : 0.9889561173
129 : ([1], [2, 6], [3, 5], [4]) : 0.9882275767
130 : ([1, 5], [2, 6], [3, 4]) : 0.9886924349
131 : ([1, 5], [2, 6], [3], [4]) : 0.9867424537
132 : ([1, 3, 4], [2, 6], [5]) : 0.9907900217
133 : ([1], [2, 6], [3, 4], [5]) : 0.9869839234
134 : ([1, 4], [2, 6], [3], [5]) : 0.9861216714
135 : ([1, 3], [2, 6], [4], [5]) : 0.9870501750
136 : ([1], [2, 6], [3], [4], [5]) : 0.9856597011
137 : ([1, 6], [2, 3, 4, 5]) : 0.9987294052
138 : ([1, 6], [2], [3, 4, 5]) : 0.9926194756
139 : ([1, 6], [2, 4, 5], [3]) : 0.9960507318
140 : ([1, 6], [2, 3], [4, 5]) : 0.9898680415
141 : ([1, 6], [2], [3], [4, 5]) : 0.9878016577
142 : ([1, 6], [2, 3, 5], [4]) : 0.9951593034
143 : ([1, 6], [2, 4], [3, 5]) : 0.9916076911
144 : ([1, 6], [2], [3, 5], [4]) : 0.9884766085
145 : ([1, 6], [2, 5], [3, 4]) : 0.9911360309
146 : ([1, 6], [2, 5], [3], [4]) : 0.9883977611
147 : ([1, 6], [2, 3, 4], [5]) : 0.9930475143
148 : ([1, 6], [2], [3, 4], [5]) : 0.9883664005
149 : ([1, 6], [2, 4], [3], [5]) : 0.9884652823
150 : ([1, 6], [2, 3], [4], [5]) : 0.9881702918
151 : ([1, 6], [2], [3], [4], [5]) : 0.9865609609
152 : ([1, 2, 3, 4, 5], [6]) : 0.9992087816
153 : ([1], [2, 3, 4, 5], [6]) : 0.9987869881
154 : ([1, 3, 4, 5], [2], [6]) : 0.9960708685
155 : ([1, 2], [3, 4, 5], [6]) : 0.9978046844
156 : ([1], [2], [3, 4, 5], [6]) : 0.9895004836
157 : ([1, 2, 4, 5], [3], [6]) : 0.9983078441
158 : ([1, 3], [2, 4, 5], [6]) : 0.9961735781
159 : ([1], [2, 4, 5], [3], [6]) : 0.9958513240
160 : ([1, 4, 5], [2, 3], [6]) : 0.9944508727
161 : ([1, 4, 5], [2], [3], [6]) : 0.9912995025
162 : ([1, 2, 3], [4, 5], [6]) : 0.9928245244
163 : ([1], [2, 3], [4, 5], [6]) : 0.9890786759
164 : ([1, 3], [2], [4, 5], [6]) : 0.9872449534
165 : ([1, 2], [3], [4, 5], [6]) : 0.9909052681
166 : ([1], [2], [3], [4, 5], [6]) : 0.9862317622
167 : ([1, 2, 3, 5], [4], [6]) : 0.9982544969
168 : ([1, 4], [2, 3, 5], [6]) : 0.9949648980
169 : ([1], [2, 3, 5], [4], [6]) : 0.9948331316
170 : ([1, 3, 5], [2, 4], [6]) : 0.9962309610
171 : ([1, 3, 5], [2], [4], [6]) : 0.9919077774
172 : ([1, 2, 4], [3, 5], [6]) : 0.9929726814
173 : ([1], [2, 4], [3, 5], [6]) : 0.9908114243
174 : ([1, 4], [2], [3, 5], [6]) : 0.9875867425
175 : ([1, 2], [3, 5], [4], [6]) : 0.9902428067
176 : ([1], [2], [3, 5], [4], [6]) : 0.9863238843
177 : ([1, 2, 5], [3, 4], [6]) : 0.9937070937
178 : ([1, 2, 5], [3], [4], [6]) : 0.9909445325
179 : ([1, 3, 4], [2, 5], [6]) : 0.9918973008
180 : ([1], [2, 5], [3, 4], [6]) : 0.9879108881
181 : ([1, 4], [2, 5], [3], [6]) : 0.9870469586
182 : ([1, 3], [2, 5], [4], [6]) : 0.9870169280
183 : ([1], [2, 5], [3], [4], [6]) : 0.9862901209
184 : ([1, 5], [2, 3, 4], [6]) : 0.9918818311
185 : ([1, 5], [2], [3, 4], [6]) : 0.9878586770
186 : ([1, 5], [2, 4], [3], [6]) : 0.9879402192
187 : ([1, 5], [2, 3], [4], [6]) : 0.9876055202
188 : ([1, 5], [2], [3], [4], [6]) : 0.9862837850
189 : ([1, 2, 3, 4], [5], [6]) : 0.9975423821
190 : ([1], [2, 3, 4], [5], [6]) : 0.9896576981
191 : ([1, 3, 4], [2], [5], [6]) : 0.9894964111
192 : ([1, 2], [3, 4], [5], [6]) : 0.9874480407
193 : ([1], [2], [3, 4], [5], [6]) : 0.9864313816
194 : ([1, 2, 4], [3], [5], [6]) : 0.9898536933
195 : ([1, 3], [2, 4], [5], [6]) : 0.9876469369
196 : ([1], [2, 4], [3], [5], [6]) : 0.9867635839
197 : ([1, 4], [2, 3], [5], [6]) : 0.9869459210
198 : ([1, 4], [2], [3], [5], [6]) : 0.9858056710
199 : ([1, 2, 3], [4], [5], [6]) : 0.9900928714
200 : ([1], [2, 3], [4], [5], [6]) : 0.9862537571
201 : ([1, 3], [2], [4], [5], [6]) : 0.9861248619
202 : ([1, 2], [3], [4], [5], [6]) : 0.9861196465
203 : ([1], [2], [3], [4], [5], [6]) : 0.9852810431
