=== Selected Model: 6 ===
=== Kernel: Laplace (0.5) ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9997811734
2 : ([1], [2, 3, 4, 5, 6]) : 0.9997930838
3 : ([1, 3, 4, 5, 6], [2]) : 0.9998323062
4 : ([1, 2], [3, 4, 5, 6]) : 0.9998278364
5 : ([1], [2], [3, 4, 5, 6]) : 0.9998335260
6 : ([1, 2, 4, 5, 6], [3]) : 0.9997644171
7 : ([1, 3], [2, 4, 5, 6]) : 0.9997800425
8 : ([1], [2, 4, 5, 6], [3]) : 0.9997736701
9 : ([1, 4, 5, 6], [2, 3]) : 0.9998926555
10 : ([1, 4, 5, 6], [2], [3]) : 0.9998896547
11 : ([1, 2, 3], [4, 5, 6]) : 0.9998833047
12 : ([1], [2, 3], [4, 5, 6]) : 0.9998919242
13 : ([1, 3], [2], [4, 5, 6]) : 0.9998748775
14 : ([1, 2], [3], [4, 5, 6]) : 0.9998688648
15 : ([1], [2], [3], [4, 5, 6]) : 0.9998853154
16 : ([1, 2, 3, 5, 6], [4]) : 0.9998075322
17 : ([1, 4], [2, 3, 5, 6]) : 0.9998056124
18 : ([1], [2, 3, 5, 6], [4]) : 0.9997923776
19 : ([1, 3, 5, 6], [2, 4]) : 0.9997985809
20 : ([1, 3, 5, 6], [2], [4]) : 0.9998414909
21 : ([1, 2, 4], [3, 5, 6]) : 0.9997857958
22 : ([1], [2, 4], [3, 5, 6]) : 0.9997817177
23 : ([1, 4], [2], [3, 5, 6]) : 0.9998424815
24 : ([1, 2], [3, 5, 6], [4]) : 0.9998262195
25 : ([1], [2], [3, 5, 6], [4]) : 0.9998315552
26 : ([1, 2, 5, 6], [3, 4]) : 0.9997848476
27 : ([1, 2, 5, 6], [3], [4]) : 0.9997882065
28 : ([1, 3, 4], [2, 5, 6]) : 0.9997932919
29 : ([1], [2, 5, 6], [3, 4]) : 0.9997722077
30 : ([1, 4], [2, 5, 6], [3]) : 0.9997982905
31 : ([1, 3], [2, 5, 6], [4]) : 0.9997870524
32 : ([1], [2, 5, 6], [3], [4]) : 0.9997847137
33 : ([1, 5, 6], [2, 3, 4]) : 0.9998406865
34 : ([1, 5, 6], [2], [3, 4]) : 0.9998489017
35 : ([1, 5, 6], [2, 4], [3]) : 0.9998273122
36 : ([1, 5, 6], [2, 3], [4]) : 0.9998838433
37 : ([1, 5, 6], [2], [3], [4]) : 0.9998805046
38 : ([1, 2, 3, 4], [5, 6]) : 0.9998358923
39 : ([1], [2, 3, 4], [5, 6]) : 0.9998379048
40 : ([1, 3, 4], [2], [5, 6]) : 0.9998492256
41 : ([1, 2], [3, 4], [5, 6]) : 0.9998346668
42 : ([1], [2], [3, 4], [5, 6]) : 0.9998382160
43 : ([1, 2, 4], [3], [5, 6]) : 0.9998090416
44 : ([1, 3], [2, 4], [5, 6]) : 0.9998124381
45 : ([1], [2, 4], [3], [5, 6]) : 0.9998166380
46 : ([1, 4], [2, 3], [5, 6]) : 0.9998871528
47 : ([1, 4], [2], [3], [5, 6]) : 0.9998779304
48 : ([1, 2, 3], [4], [5, 6]) : 0.9998746025
49 : ([1], [2, 3], [4], [5, 6]) : 0.9998743779
50 : ([1, 3], [2], [4], [5, 6]) : 0.9998562406
51 : ([1, 2], [3], [4], [5, 6]) : 0.9998554685
52 : ([1], [2], [3], [4], [5, 6]) : 0.9998678530
53 : ([1, 2, 3, 4, 6], [5]) : 0.9997996311
54 : ([1, 5], [2, 3, 4, 6]) : 0.9998072406
55 : ([1], [2, 3, 4, 6], [5]) : 0.9997997527
56 : ([1, 3, 4, 6], [2, 5]) : 0.9998069501
57 : ([1, 3, 4, 6], [2], [5]) : 0.9998399790
58 : ([1, 2, 5], [3, 4, 6]) : 0.9997971249
59 : ([1], [2, 5], [3, 4, 6]) : 0.9997869914
60 : ([1, 5], [2], [3, 4, 6]) : 0.9998335578
61 : ([1, 2], [3, 4, 6], [5]) : 0.9998229983
62 : ([1], [2], [3, 4, 6], [5]) : 0.9998264528
63 : ([1, 2, 4, 6], [3, 5]) : 0.9997810003
64 : ([1, 2, 4, 6], [3], [5]) : 0.9997822522
65 : ([1, 3, 5], [2, 4, 6]) : 0.9997908201
66 : ([1], [2, 4, 6], [3, 5]) : 0.9997675645
67 : ([1, 5], [2, 4, 6], [3]) : 0.9997875278
68 : ([1, 3], [2, 4, 6], [5]) : 0.9997854356
69 : ([1], [2, 4, 6], [3], [5]) : 0.9997827652
70 : ([1, 4, 6], [2, 3, 5]) : 0.9998527694
71 : ([1, 4, 6], [2], [3, 5]) : 0.9998542075
72 : ([1, 4, 6], [2, 5], [3]) : 0.9998309496
73 : ([1, 4, 6], [2, 3], [5]) : 0.9998912808
74 : ([1, 4, 6], [2], [3], [5]) : 0.9998817428
75 : ([1, 2, 3, 5], [4, 6]) : 0.9998523211
76 : ([1], [2, 3, 5], [4, 6]) : 0.9998399097
77 : ([1, 3, 5], [2], [4, 6]) : 0.9998500083
78 : ([1, 2], [3, 5], [4, 6]) : 0.9998351869
79 : ([1], [2], [3, 5], [4, 6]) : 0.9998380341
80 : ([1, 2, 5], [3], [4, 6]) : 0.9998173973
81 : ([1, 3], [2, 5], [4, 6]) : 0.9998151259
82 : ([1], [2, 5], [3], [4, 6]) : 0.9998128482
83 : ([1, 5], [2, 3], [4, 6]) : 0.9998863977
84 : ([1, 5], [2], [3], [4, 6]) : 0.9998752931
85 : ([1, 2, 3], [4, 6], [5]) : 0.9998775784
86 : ([1], [2, 3], [4, 6], [5]) : 0.9998785346
87 : ([1, 3], [2], [4, 6], [5]) : 0.9998568821
88 : ([1, 2], [3], [4, 6], [5]) : 0.9998523832
89 : ([1], [2], [3], [4, 6], [5]) : 0.9998681838
90 : ([1, 2, 3, 6], [4, 5]) : 0.9998353959
91 : ([1, 2, 3, 6], [4], [5]) : 0.9998313864
92 : ([1, 4, 5], [2, 3, 6]) : 0.9998337227
93 : ([1], [2, 3, 6], [4, 5]) : 0.9998189423
94 : ([1, 5], [2, 3, 6], [4]) : 0.9998189686
95 : ([1, 4], [2, 3, 6], [5]) : 0.9998186778
96 : ([1], [2, 3, 6], [4], [5]) : 0.9998097579
97 : ([1, 3, 6], [2, 4, 5]) : 0.9997846252
98 : ([1, 3, 6], [2], [4, 5]) : 0.9998539349
99 : ([1, 3, 6], [2, 5], [4]) : 0.9997993312
100 : ([1, 3, 6], [2, 4], [5]) : 0.9997974729
101 : ([1, 3, 6], [2], [4], [5]) : 0.9998432127
102 : ([1, 2, 4, 5], [3, 6]) : 0.9997629264
103 : ([1], [2, 4, 5], [3, 6]) : 0.9997620615
104 : ([1, 4, 5], [2], [3, 6]) : 0.9998497575
105 : ([1, 2], [3, 6], [4, 5]) : 0.9998295500
106 : ([1], [2], [3, 6], [4, 5]) : 0.9998426027
107 : ([1, 2, 5], [3, 6], [4]) : 0.9997910365
108 : ([1, 4], [2, 5], [3, 6]) : 0.9997858894
109 : ([1], [2, 5], [3, 6], [4]) : 0.9997703273
110 : ([1, 5], [2, 4], [3, 6]) : 0.9997833780
111 : ([1, 5], [2], [3, 6], [4]) : 0.9998354268
112 : ([1, 2, 4], [3, 6], [5]) : 0.9997760577
113 : ([1], [2, 4], [3, 6], [5]) : 0.9997755752
114 : ([1, 4], [2], [3, 6], [5]) : 0.9998406899
115 : ([1, 2], [3, 6], [4], [5]) : 0.9998216942
116 : ([1], [2], [3, 6], [4], [5]) : 0.9998265129
117 : ([1, 2, 6], [3, 4, 5]) : 0.9998084725
118 : ([1, 2, 6], [3], [4, 5]) : 0.9998187825
119 : ([1, 2, 6], [3, 5], [4]) : 0.9997979537
120 : ([1, 2, 6], [3, 4], [5]) : 0.9998004898
121 : ([1, 2, 6], [3], [4], [5]) : 0.9998102544
122 : ([1, 3, 4, 5], [2, 6]) : 0.9998038161
123 : ([1], [2, 6], [3, 4, 5]) : 0.9997878812
124 : ([1, 4, 5], [2, 6], [3]) : 0.9998236026
125 : ([1, 3], [2, 6], [4, 5]) : 0.9998107211
126 : ([1], [2, 6], [3], [4, 5]) : 0.9998147243
127 : ([1, 3, 5], [2, 6], [4]) : 0.9998003006
128 : ([1, 4], [2, 6], [3, 5]) : 0.9997879656
129 : ([1], [2, 6], [3, 5], [4]) : 0.9997687608
130 : ([1, 5], [2, 6], [3, 4]) : 0.9997852178
131 : ([1, 5], [2, 6], [3], [4]) : 0.9998087882
132 : ([1, 3, 4], [2, 6], [5]) : 0.9997961770
133 : ([1], [2, 6], [3, 4], [5]) : 0.9997762643
134 : ([1, 4], [2, 6], [3], [5]) : 0.9998136507
135 : ([1, 3], [2, 6], [4], [5]) : 0.9997983461
136 : ([1], [2, 6], [3], [4], [5]) : 0.9998021202
137 : ([1, 6], [2, 3, 4, 5]) : 0.9998270412
138 : ([1, 6], [2], [3, 4, 5]) : 0.9998364789
139 : ([1, 6], [2, 4, 5], [3]) : 0.9997904101
140 : ([1, 6], [2, 3], [4, 5]) : 0.9998834969
141 : ([1, 6], [2], [3], [4, 5]) : 0.9998795359
142 : ([1, 6], [2, 3, 5], [4]) : 0.9998330381
143 : ([1, 6], [2, 4], [3, 5]) : 0.9997849100
144 : ([1, 6], [2], [3, 5], [4]) : 0.9998337191
145 : ([1, 6], [2, 5], [3, 4]) : 0.9997928121
146 : ([1, 6], [2, 5], [3], [4]) : 0.9998095433
147 : ([1, 6], [2, 3, 4], [5]) : 0.9998355567
148 : ([1, 6], [2], [3, 4], [5]) : 0.9998393330
149 : ([1, 6], [2, 4], [3], [5]) : 0.9998166651
150 : ([1, 6], [2, 3], [4], [5]) : 0.9998779426
151 : ([1, 6], [2], [3], [4], [5]) : 0.9998697481
152 : ([1, 2, 3, 4, 5], [6]) : 0.9998197338
153 : ([1], [2, 3, 4, 5], [6]) : 0.9998184368
154 : ([1, 3, 4, 5], [2], [6]) : 0.9998384060
155 : ([1, 2], [3, 4, 5], [6]) : 0.9998310524
156 : ([1], [2], [3, 4, 5], [6]) : 0.9998285928
157 : ([1, 2, 4, 5], [3], [6]) : 0.9997796104
158 : ([1, 3], [2, 4, 5], [6]) : 0.9997845474
159 : ([1], [2, 4, 5], [3], [6]) : 0.9997813263
160 : ([1, 4, 5], [2, 3], [6]) : 0.9998875752
161 : ([1, 4, 5], [2], [3], [6]) : 0.9998785780
162 : ([1, 2, 3], [4, 5], [6]) : 0.9998744617
163 : ([1], [2, 3], [4, 5], [6]) : 0.9998745082
164 : ([1, 3], [2], [4, 5], [6]) : 0.9998586752
165 : ([1, 2], [3], [4, 5], [6]) : 0.9998541065
166 : ([1], [2], [3], [4, 5], [6]) : 0.9998678049
167 : ([1, 2, 3, 5], [4], [6]) : 0.9998434273
168 : ([1, 4], [2, 3, 5], [6]) : 0.9998367273
169 : ([1], [2, 3, 5], [4], [6]) : 0.9998187498
170 : ([1, 3, 5], [2, 4], [6]) : 0.9997982586
