=== Selected Model: 2 ===
=== Kernel: Laplace (0.5) ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9996580434
2 : ([1], [2, 3, 4, 5, 6]) : 0.9992111319
3 : ([1, 3, 4, 5, 6], [2]) : 0.9940361268
4 : ([1, 2], [3, 4, 5, 6]) : 0.9916237816
5 : ([1], [2], [3, 4, 5, 6]) : 0.9901917753
6 : ([1, 2, 4, 5, 6], [3]) : 0.9942120365
7 : ([1, 3], [2, 4, 5, 6]) : 0.9925207999
8 : ([1], [2, 4, 5, 6], [3]) : 0.9907558270
9 : ([1, 4, 5, 6], [2, 3]) : 0.9918231128
10 : ([1, 4, 5, 6], [2], [3]) : 0.9871113486
11 : ([1, 2, 3], [4, 5, 6]) : 0.9893406340
12 : ([1], [2, 3], [4, 5, 6]) : 0.9842697093
13 : ([1, 3], [2], [4, 5, 6]) : 0.9789137858
14 : ([1, 2], [3], [4, 5, 6]) : 0.9778811230
15 : ([1], [2], [3], [4, 5, 6]) : 0.9739492234
16 : ([1, 2, 3, 5, 6], [4]) : 0.9970301243
17 : ([1, 4], [2, 3, 5, 6]) : 0.9954730654
18 : ([1], [2, 3, 5, 6], [4]) : 0.9947251815
19 : ([1, 3, 5, 6], [2, 4]) : 0.9906430773
20 : ([1, 3, 5, 6], [2], [4]) : 0.9884638134
21 : ([1, 2, 4], [3, 5, 6]) : 0.9895277535
22 : ([1], [2, 4], [3, 5, 6]) : 0.9825032031
23 : ([1, 4], [2], [3, 5, 6]) : 0.9811729145
24 : ([1, 2], [3, 5, 6], [4]) : 0.9817700477
25 : ([1], [2], [3, 5, 6], [4]) : 0.9772161186
26 : ([1, 2, 5, 6], [3, 4]) : 0.9903010850
27 : ([1, 2, 5, 6], [3], [4]) : 0.9876306097
28 : ([1, 3, 4], [2, 5, 6]) : 0.9886082088
29 : ([1], [2, 5, 6], [3, 4]) : 0.9838771566
30 : ([1, 4], [2, 5, 6], [3]) : 0.9792933669
31 : ([1, 3], [2, 5, 6], [4]) : 0.9830502644
32 : ([1], [2, 5, 6], [3], [4]) : 0.9764157143
33 : ([1, 5, 6], [2, 3, 4]) : 0.9913003836
34 : ([1, 5, 6], [2], [3, 4]) : 0.9808154438
35 : ([1, 5, 6], [2, 4], [3]) : 0.9796283121
36 : ([1, 5, 6], [2, 3], [4]) : 0.9820828982
37 : ([1, 5, 6], [2], [3], [4]) : 0.9726951826
38 : ([1, 2, 3, 4], [5, 6]) : 0.9916758948
39 : ([1], [2, 3, 4], [5, 6]) : 0.9853734095
40 : ([1, 3, 4], [2], [5, 6]) : 0.9768415736
41 : ([1, 2], [3, 4], [5, 6]) : 0.9699582827
