=== Selected Model: 5 ===
=== Kernel: Laplace (0.5) ===
1 : ([1, 2, 3, 4, 5, 6],) : 0.9998186240
2 : ([1], [2, 3, 4, 5, 6]) : 0.9997124979
3 : ([1, 3, 4, 5, 6], [2]) : 0.9997512857
4 : ([1, 2], [3, 4, 5, 6]) : 0.9995903377
5 : ([1], [2], [3, 4, 5, 6]) : 0.9995283733
6 : ([1, 2, 4, 5, 6], [3]) : 0.9997327564
7 : ([1, 3], [2, 4, 5, 6]) : 0.9996064384
8 : ([1], [2, 4, 5, 6], [3]) : 0.9995460694
9 : ([1, 4, 5, 6], [2, 3]) : 0.9996454606
10 : ([1, 4, 5, 6], [2], [3]) : 0.9995857369
11 : ([1, 2, 3], [4, 5, 6]) : 0.9995235886
12 : ([1], [2, 3], [4, 5, 6]) : 0.9992515397
13 : ([1, 3], [2], [4, 5, 6]) : 0.9992162447
14 : ([1, 2], [3], [4, 5, 6]) : 0.9992073457
15 : ([1], [2], [3], [4, 5, 6]) : 0.9990429817
16 : ([1, 2, 3, 5, 6], [4]) : 0.9997212810
17 : ([1, 4], [2, 3, 5, 6]) : 0.9996023110
18 : ([1], [2, 3, 5, 6], [4]) : 0.9995500959
19 : ([1, 3, 5, 6], [2, 4]) : 0.9995451397
20 : ([1, 3, 5, 6], [2], [4]) : 0.9995109558
21 : ([1, 2, 4], [3, 5, 6]) : 0.9995249934
22 : ([1], [2, 4], [3, 5, 6]) : 0.9991813647
23 : ([1, 4], [2], [3, 5, 6]) : 0.9992581074
24 : ([1, 2], [3, 5, 6], [4]) : 0.9992015048
25 : ([1], [2], [3, 5, 6], [4]) : 0.9990341275
26 : ([1, 2, 5, 6], [3, 4]) : 0.9995481254
27 : ([1, 2, 5, 6], [3], [4]) : 0.9995279044
28 : ([1, 3, 4], [2, 5, 6]) : 0.9994764512
29 : ([1], [2, 5, 6], [3, 4]) : 0.9991405130
30 : ([1, 4], [2, 5, 6], [3]) : 0.9992614001
31 : ([1, 3], [2, 5, 6], [4]) : 0.9992197982
32 : ([1], [2, 5, 6], [3], [4]) : 0.9989913575
33 : ([1, 5, 6], [2, 3, 4]) : 0.9994762595
34 : ([1, 5, 6], [2], [3, 4]) : 0.9991163006
35 : ([1, 5, 6], [2, 4], [3]) : 0.9991356446
36 : ([1, 5, 6], [2, 3], [4]) : 0.9991930370
37 : ([1, 5, 6], [2], [3], [4]) : 0.9989249123
38 : ([1, 2, 3, 4], [5, 6]) : 0.9995849886
39 : ([1], [2, 3, 4], [5, 6]) : 0.9991413276
40 : ([1, 3, 4], [2], [5, 6]) : 0.9991346255
41 : ([1, 2], [3, 4], [5, 6]) : 0.9988093459
42 : ([1], [2], [3, 4], [5, 6]) : 0.9983570687
43 : ([1, 2, 4], [3], [5, 6]) : 0.9992748645
44 : ([1, 3], [2, 4], [5, 6]) : 0.9987675249
45 : ([1], [2, 4], [3], [5, 6]) : 0.9983033618
46 : ([1, 4], [2, 3], [5, 6]) : 0.9988213070
47 : ([1, 4], [2], [3], [5, 6]) : 0.9983333227
48 : ([1, 2, 3], [4], [5, 6]) : 0.9992514850
49 : ([1], [2, 3], [4], [5, 6]) : 0.9984473139
50 : ([1, 3], [2], [4], [5, 6]) : 0.9983927439
51 : ([1, 2], [3], [4], [5, 6]) : 0.9983600316
52 : ([1], [2], [3], [4], [5, 6]) : 0.9975982415
53 : ([1, 2, 3, 4, 6], [5]) : 0.9997109305
54 : ([1, 5], [2, 3, 4, 6]) : 0.9995196366
55 : ([1], [2, 3, 4, 6], [5]) : 0.9994457212
56 : ([1, 3, 4, 6], [2, 5]) : 0.9995629658
57 : ([1, 3, 4, 6], [2], [5]) : 0.9995087427
58 : ([1, 2, 5], [3, 4, 6]) : 0.9994693306
59 : ([1], [2, 5], [3, 4, 6]) : 0.9991573734
60 : ([1, 5], [2], [3, 4, 6]) : 0.9991643530
61 : ([1, 2], [3, 4, 6], [5]) : 0.9991560812
62 : ([1], [2], [3, 4, 6], [5]) : 0.9989136892
63 : ([1, 2, 4, 6], [3, 5]) : 0.9995869338
64 : ([1, 2, 4, 6], [3], [5]) : 0.9995048041
65 : ([1, 3, 5], [2, 4, 6]) : 0.9994102600
66 : ([1], [2, 4, 6], [3, 5]) : 0.9991325510
67 : ([1, 5], [2, 4, 6], [3]) : 0.9991174362
68 : ([1, 3], [2, 4, 6], [5]) : 0.9990933740
69 : ([1], [2, 4, 6], [3], [5]) : 0.9989498464
70 : ([1, 4, 6], [2, 3, 5]) : 0.9995347343
71 : ([1, 4, 6], [2], [3, 5]) : 0.9992378030
72 : ([1, 4, 6], [2, 5], [3]) : 0.9992135773
73 : ([1, 4, 6], [2, 3], [5]) : 0.9993053250
74 : ([1, 4, 6], [2], [3], [5]) : 0.9990416063
75 : ([1, 2, 3, 5], [4, 6]) : 0.9995492016
76 : ([1], [2, 3, 5], [4, 6]) : 0.9991319021
77 : ([1, 3, 5], [2], [4, 6]) : 0.9991347424
78 : ([1, 2], [3, 5], [4, 6]) : 0.9987779037
79 : ([1], [2], [3, 5], [4, 6]) : 0.9983182528
80 : ([1, 2, 5], [3], [4, 6]) : 0.9991137305
81 : ([1, 3], [2, 5], [4, 6]) : 0.9987164343
82 : ([1], [2, 5], [3], [4, 6]) : 0.9983431637
83 : ([1, 5], [2, 3], [4, 6]) : 0.9987919891
84 : ([1, 5], [2], [3], [4, 6]) : 0.9983347062
85 : ([1, 2, 3], [4, 6], [5]) : 0.9992010043
86 : ([1], [2, 3], [4, 6], [5]) : 0.9983867739
87 : ([1, 3], [2], [4, 6], [5]) : 0.9983343150
88 : ([1, 2], [3], [4, 6], [5]) : 0.9983469995
89 : ([1], [2], [3], [4, 6], [5]) : 0.9976408503
90 : ([1, 2, 3, 6], [4, 5]) : 0.9995975520
91 : ([1, 2, 3, 6], [4], [5]) : 0.9995196871
92 : ([1, 4, 5], [2, 3, 6]) : 0.9995461135
93 : ([1], [2, 3, 6], [4, 5]) : 0.9991773179
94 : ([1, 5], [2, 3, 6], [4]) : 0.9991367672
95 : ([1, 4], [2, 3, 6], [5]) : 0.9990698952
96 : ([1], [2, 3, 6], [4], [5]) : 0.9988538682
97 : ([1, 3, 6], [2, 4, 5]) : 0.9995440309
98 : ([1, 3, 6], [2], [4, 5]) : 0.9993001894
99 : ([1, 3, 6], [2, 5], [4]) : 0.9991095201
100 : ([1, 3, 6], [2, 4], [5]) : 0.9991028221
101 : ([1, 3, 6], [2], [4], [5]) : 0.9989485939
102 : ([1, 2, 4, 5], [3, 6]) : 0.9996082059
103 : ([1], [2, 4, 5], [3, 6]) : 0.9992126205
104 : ([1, 4, 5], [2], [3, 6]) : 0.9993118166
105 : ([1, 2], [3, 6], [4, 5]) : 0.9988454963
106 : ([1], [2], [3, 6], [4, 5]) : 0.9983609570
107 : ([1, 2, 5], [3, 6], [4]) : 0.9991838739
108 : ([1, 4], [2, 5], [3, 6]) : 0.9986535505
109 : ([1], [2, 5], [3, 6], [4]) : 0.9981441530
110 : ([1, 5], [2, 4], [3, 6]) : 0.9987603699
111 : ([1, 5], [2], [3, 6], [4]) : 0.9984019123
112 : ([1, 2, 4], [3, 6], [5]) : 0.9992181701
113 : ([1], [2, 4], [3, 6], [5]) : 0.9981633104
114 : ([1, 4], [2], [3, 6], [5]) : 0.9981661537
115 : ([1, 2], [3, 6], [4], [5]) : 0.9982320615
116 : ([1], [2], [3, 6], [4], [5]) : 0.9973404796
117 : ([1, 2, 6], [3, 4, 5]) : 0.9995002278
118 : ([1, 2, 6], [3], [4, 5]) : 0.9992393088
119 : ([1, 2, 6], [3, 5], [4]) : 0.9991802447
120 : ([1, 2, 6], [3, 4], [5]) : 0.9991486714
121 : ([1, 2, 6], [3], [4], [5]) : 0.9989610864
122 : ([1, 3, 4, 5], [2, 6]) : 0.9996148691
123 : ([1], [2, 6], [3, 4, 5]) : 0.9992167825
124 : ([1, 4, 5], [2, 6], [3]) : 0.9993646896
125 : ([1, 3], [2, 6], [4, 5]) : 0.9989687260
126 : ([1], [2, 6], [3], [4, 5]) : 0.9984585061
127 : ([1, 3, 5], [2, 6], [4]) : 0.9991096323
128 : ([1, 4], [2, 6], [3, 5]) : 0.9988012837
129 : ([1], [2, 6], [3, 5], [4]) : 0.9981967067
130 : ([1, 5], [2, 6], [3, 4]) : 0.9987350085
131 : ([1, 5], [2, 6], [3], [4]) : 0.9983597626
132 : ([1, 3, 4], [2, 6], [5]) : 0.9991610899
133 : ([1], [2, 6], [3, 4], [5]) : 0.9983255264
134 : ([1, 4], [2, 6], [3], [5]) : 0.9982228709
135 : ([1, 3], [2, 6], [4], [5]) : 0.9982159873
136 : ([1], [2, 6], [3], [4], [5]) : 0.9974145834
137 : ([1, 6], [2, 3, 4, 5]) : 0.9996033842
138 : ([1, 6], [2], [3, 4, 5]) : 0.9992891300
139 : ([1, 6], [2, 4, 5], [3]) : 0.9992825683
140 : ([1, 6], [2, 3], [4, 5]) : 0.9989872591
141 : ([1, 6], [2], [3], [4, 5]) : 0.9985843231
142 : ([1, 6], [2, 3, 5], [4]) : 0.9991156250
143 : ([1, 6], [2, 4], [3, 5]) : 0.9987337330
144 : ([1, 6], [2], [3, 5], [4]) : 0.9983298938
145 : ([1, 6], [2, 5], [3, 4]) : 0.9986927363
146 : ([1, 6], [2, 5], [3], [4]) : 0.9983223606
147 : ([1, 6], [2, 3, 4], [5]) : 0.9992257134
148 : ([1, 6], [2], [3, 4], [5]) : 0.9983141870
149 : ([1, 6], [2, 4], [3], [5]) : 0.9983046280
150 : ([1, 6], [2, 3], [4], [5]) : 0.9984727043
151 : ([1, 6], [2], [3], [4], [5]) : 0.9976374656
152 : ([1, 2, 3, 4, 5], [6]) : 0.9997277428
153 : ([1], [2, 3, 4, 5], [6]) : 0.9995533779
154 : ([1, 3, 4, 5], [2], [6]) : 0.9995460835
155 : ([1, 2], [3, 4, 5], [6]) : 0.9992563293
156 : ([1], [2], [3, 4, 5], [6]) : 0.9990194789
157 : ([1, 2, 4, 5], [3], [6]) : 0.9995819588
158 : ([1, 3], [2, 4, 5], [6]) : 0.9993076078
159 : ([1], [2, 4, 5], [3], [6]) : 0.9991152243
160 : ([1, 4, 5], [2, 3], [6]) : 0.9993329086
161 : ([1, 4, 5], [2], [3], [6]) : 0.9991984700
162 : ([1, 2, 3], [4, 5], [6]) : 0.9992895168
163 : ([1], [2, 3], [4, 5], [6]) : 0.9984610808
164 : ([1, 3], [2], [4, 5], [6]) : 0.9985640407
165 : ([1, 2], [3], [4, 5], [6]) : 0.9985586872
166 : ([1], [2], [3], [4, 5], [6]) : 0.9977825840
167 : ([1, 2, 3, 5], [4], [6]) : 0.9995089928
168 : ([1, 4], [2, 3, 5], [6]) : 0.9991603098
169 : ([1], [2, 3, 5], [4], [6]) : 0.9988969947
170 : ([1, 3, 5], [2, 4], [6]) : 0.9991309058
171 : ([1, 3, 5], [2], [4], [6]) : 0.9989211907
172 : ([1, 2, 4], [3, 5], [6]) : 0.9992502900
173 : ([1], [2, 4], [3, 5], [6]) : 0.9983389435
174 : ([1, 4], [2], [3, 5], [6]) : 0.9983175481
175 : ([1, 2], [3, 5], [4], [6]) : 0.9984005961
176 : ([1], [2], [3, 5], [4], [6]) : 0.9975075302
177 : ([1, 2, 5], [3, 4], [6]) : 0.9991269718
178 : ([1, 2, 5], [3], [4], [6]) : 0.9989087028
179 : ([1, 3, 4], [2, 5], [6]) : 0.9992072204
180 : ([1], [2, 5], [3, 4], [6]) : 0.9983199357
181 : ([1, 4], [2, 5], [3], [6]) : 0.9983236094
182 : ([1, 3], [2, 5], [4], [6]) : 0.9982299863
183 : ([1], [2, 5], [3], [4], [6]) : 0.9974192119
184 : ([1, 5], [2, 3, 4], [6]) : 0.9992137512
185 : ([1, 5], [2], [3, 4], [6]) : 0.9983033937
186 : ([1, 5], [2, 4], [3], [6]) : 0.9983838811
187 : ([1, 5], [2, 3], [4], [6]) : 0.9983966878
188 : ([1, 5], [2], [3], [4], [6]) : 0.9976359889
189 : ([1, 2, 3, 4], [5], [6]) : 0.9995173914
190 : ([1], [2, 3, 4], [5], [6]) : 0.9989911238
191 : ([1, 3, 4], [2], [5], [6]) : 0.9989447533
192 : ([1, 2], [3, 4], [5], [6]) : 0.9984361004
193 : ([1], [2], [3, 4], [5], [6]) : 0.9977032315
194 : ([1, 2, 4], [3], [5], [6]) : 0.9990434001
195 : ([1, 3], [2, 4], [5], [6]) : 0.9981368039
196 : ([1], [2, 4], [3], [5], [6]) : 0.9975628761
197 : ([1, 4], [2, 3], [5], [6]) : 0.9983763560
198 : ([1, 4], [2], [3], [5], [6]) : 0.9973133055
199 : ([1, 2, 3], [4], [5], [6]) : 0.9990370908
200 : ([1], [2, 3], [4], [5], [6]) : 0.9975854734
201 : ([1, 3], [2], [4], [5], [6]) : 0.9973384527
202 : ([1, 2], [3], [4], [5], [6]) : 0.9974040299
203 : ([1], [2], [3], [4], [5], [6]) : 0.9959175325
