<function model4 at 0x7ff6a2745230>
=== Selected Model: 4 ===
99 : ([1, 3, 6], [2, 5], [4]) : 0.9806030995
100 : ([1, 3, 6], [2, 4], [5]) : 0.9804578189
101 : ([1, 3, 6], [2], [4], [5]) : 0.9789568155
102 : ([1, 2, 4, 5], [3, 6]) : 0.9921500677
103 : ([1], [2, 4, 5], [3, 6]) : 0.9914106124
104 : ([1, 4, 5], [2], [3, 6]) : 0.9916059727
105 : ([1, 2], [3, 6], [4, 5]) : 0.9913553218
106 : ([1], [2], [3, 6], [4, 5]) : 0.9911974965
107 : ([1, 2, 5], [3, 6], [4]) : 0.9810844299
108 : ([1, 4], [2, 5], [3, 6]) : 0.9797695656
109 : ([1], [2, 5], [3, 6], [4]) : 0.9794790873
110 : ([1, 5], [2, 4], [3, 6]) : 0.9795596704
111 : ([1, 5], [2], [3, 6], [4]) : 0.9782719626
112 : ([1, 2, 4], [3, 6], [5]) : 0.9810654421
113 : ([1], [2, 4], [3, 6], [5]) : 0.9793476848
114 : ([1, 4], [2], [3, 6], [5]) : 0.9782562014
115 : ([1, 2], [3, 6], [4], [5]) : 0.9788701161
116 : ([1], [2], [3, 6], [4], [5]) : 0.9779754143
117 : ([1, 2, 6], [3, 4, 5]) : 0.9924897456
118 : ([1, 2, 6], [3], [4, 5]) : 0.9918851824
119 : ([1, 2, 6], [3, 5], [4]) : 0.9812991848
120 : ([1, 2, 6], [3, 4], [5]) : 0.9816021426
121 : ([1, 2, 6], [3], [4], [5]) : 0.9804310036
122 : ([1, 3, 4, 5], [2, 6]) : 0.9927240631
123 : ([1], [2, 6], [3, 4, 5]) : 0.9919028522
124 : ([1, 4, 5], [2, 6], [3]) : 0.9916281079
125 : ([1, 3], [2, 6], [4, 5]) : 0.9913132325
126 : ([1], [2, 6], [3], [4, 5]) : 0.9912407021
127 : ([1, 3, 5], [2, 6], [4]) : 0.9802696998
128 : ([1, 4], [2, 6], [3, 5]) : 0.9795447948
129 : ([1], [2, 6], [3, 5], [4]) : 0.9792948235
130 : ([1, 5], [2, 6], [3, 4]) : 0.9800333959
131 : ([1, 5], [2, 6], [3], [4]) : 0.9785949079
132 : ([1, 3, 4], [2, 6], [5]) : 0.9806628728
133 : ([1], [2, 6], [3, 4], [5]) : 0.9796096154
134 : ([1, 4], [2, 6], [3], [5]) : 0.9784985371
135 : ([1, 3], [2, 6], [4], [5]) : 0.9784491455
136 : ([1], [2, 6], [3], [4], [5]) : 0.9782622018
137 : ([1, 6], [2, 3, 4, 5]) : 0.9931195057
138 : ([1, 6], [2], [3, 4, 5]) : 0.9921535267
139 : ([1, 6], [2, 4, 5], [3]) : 0.9917603934
140 : ([1, 6], [2, 3], [4, 5]) : 0.9917017706
141 : ([1, 6], [2], [3], [4, 5]) : 0.9915537116
142 : ([1, 6], [2, 3, 5], [4]) : 0.9835965791
143 : ([1, 6], [2, 4], [3, 5]) : 0.9808634271
144 : ([1, 6], [2], [3, 5], [4]) : 0.9794791687
145 : ([1, 6], [2, 5], [3, 4]) : 0.9813550276
146 : ([1, 6], [2, 5], [3], [4]) : 0.9799790050
147 : ([1, 6], [2, 3, 4], [5]) : 0.9821577065
148 : ([1, 6], [2], [3, 4], [5]) : 0.9797306091
149 : ([1, 6], [2, 4], [3], [5]) : 0.9798957724
150 : ([1, 6], [2, 3], [4], [5]) : 0.9788818488
151 : ([1, 6], [2], [3], [4], [5]) : 0.9784686438
152 : ([1, 2, 3, 4, 5], [6]) : 0.9938432467
153 : ([1], [2, 3, 4, 5], [6]) : 0.9928705835
154 : ([1, 3, 4, 5], [2], [6]) : 0.9926340669
155 : ([1, 2], [3, 4, 5], [6]) : 0.9919175733
156 : ([1], [2], [3, 4, 5], [6]) : 0.9917862611
157 : ([1, 2, 4, 5], [3], [6]) : 0.9920278246
158 : ([1, 3], [2, 4, 5], [6]) : 0.9913967873
159 : ([1], [2, 4, 5], [3], [6]) : 0.9913013796
160 : ([1, 4, 5], [2, 3], [6]) : 0.9916302720
161 : ([1, 4, 5], [2], [3], [6]) : 0.9915045481
162 : ([1, 2, 3], [4, 5], [6]) : 0.9916169526
163 : ([1], [2, 3], [4, 5], [6]) : 0.9912799535
164 : ([1, 3], [2], [4, 5], [6]) : 0.9911602767
165 : ([1, 2], [3], [4, 5], [6]) : 0.9912595461
166 : ([1], [2], [3], [4, 5], [6]) : 0.9911021414
167 : ([1, 2, 3, 5], [4], [6]) : 0.9855060658
168 : ([1, 4], [2, 3, 5], [6]) : 0.9834673038
169 : ([1], [2, 3, 5], [4], [6]) : 0.9831169658
170 : ([1, 3, 5], [2, 4], [6]) : 0.9809882089
171 : ([1, 3, 5], [2], [4], [6]) : 0.9797780038
172 : ([1, 2, 4], [3, 5], [6]) : 0.9816276439
173 : ([1], [2, 4], [3, 5], [6]) : 0.9801656583
174 : ([1, 4], [2], [3, 5], [6]) : 0.9790978616
175 : ([1, 2], [3, 5], [4], [6]) : 0.9796082520
176 : ([1], [2], [3, 5], [4], [6]) : 0.9787858481
177 : ([1, 2, 5], [3, 4], [6]) : 0.9820545789
178 : ([1, 2, 5], [3], [4], [6]) : 0.9808678078
179 : ([1, 3, 4], [2, 5], [6]) : 0.9815862088
180 : ([1], [2, 5], [3, 4], [6]) : 0.9805236831
181 : ([1, 4], [2, 5], [3], [6]) : 0.9795798979
182 : ([1, 3], [2, 5], [4], [6]) : 0.9795112970
183 : ([1], [2, 5], [3], [4], [6]) : 0.9792503196
184 : ([1, 5], [2, 3, 4], [6]) : 0.9817687410
185 : ([1, 5], [2], [3, 4], [6]) : 0.9793750500
186 : ([1, 5], [2, 4], [3], [6]) : 0.9794105140
187 : ([1, 5], [2, 3], [4], [6]) : 0.9784284691
188 : ([1, 5], [2], [3], [4], [6]) : 0.9780461549
189 : ([1, 2, 3, 4], [5], [6]) : 0.9842567720
190 : ([1], [2, 3, 4], [5], [6]) : 0.9814877623
191 : ([1, 3, 4], [2], [5], [6]) : 0.9800400174
192 : ([1, 2], [3, 4], [5], [6]) : 0.9796875022
193 : ([1], [2], [3, 4], [5], [6]) : 0.9789309764
194 : ([1, 2, 4], [3], [5], [6]) : 0.9809061551
195 : ([1, 3], [2, 4], [5], [6]) : 0.9794557521
196 : ([1], [2, 4], [3], [5], [6]) : 0.9791692614
197 : ([1, 4], [2, 3], [5], [6]) : 0.9784171739
198 : ([1, 4], [2], [3], [5], [6]) : 0.9779963454
199 : ([1, 2, 3], [4], [5], [6]) : 0.9799093818
200 : ([1], [2, 3], [4], [5], [6]) : 0.9781134806
201 : ([1, 3], [2], [4], [5], [6]) : 0.9778772587
202 : ([1, 2], [3], [4], [5], [6]) : 0.9786076649
203 : ([1], [2], [3], [4], [5], [6]) : 0.9776990286
python -u script.py 1 > script-model-1.out
python -u script.py 2 > script-model-2.out
python -u script.py 3 > script-model-3.out
python -u script.py 4 > script-model-4.out
python -u script.py 5 > script-model-5.out
python -u script.py 6 > script-model-6.out
python -u script.py 7 > script-model-7.out
python -u script.py 8 > script-model-8.out
python -u script.py 9 > script-model-9.out
python -u script.py 10 > script-model-10.out
