<function model3 at 0x7f191a7551b8>
=== Selected Model: 3 ===
99 : ([1, 3, 6], [2, 5], [4]) : 0.6896120083
100 : ([1, 3, 6], [2, 4], [5]) : 0.7088453950
101 : ([1, 3, 6], [2], [4], [5]) : 0.6865243960
102 : ([1, 2, 4, 5], [3, 6]) : 0.9518707228
103 : ([1], [2, 4, 5], [3, 6]) : 0.9449681240
104 : ([1, 4, 5], [2], [3, 6]) : 0.9420640518
105 : ([1, 2], [3, 6], [4, 5]) : 0.9399337241
106 : ([1], [2], [3, 6], [4, 5]) : 0.9395109803
107 : ([1, 2, 5], [3, 6], [4]) : 0.7139279170
108 : ([1, 4], [2, 5], [3, 6]) : 0.6822540027
109 : ([1], [2, 5], [3, 6], [4]) : 0.6772756396
110 : ([1, 5], [2, 4], [3, 6]) : 0.7010089017
111 : ([1, 5], [2], [3, 6], [4]) : 0.6831322556
112 : ([1, 2, 4], [3, 6], [5]) : 0.7218098107
113 : ([1], [2, 4], [3, 6], [5]) : 0.6941660225
114 : ([1, 4], [2], [3, 6], [5]) : 0.6780038119
115 : ([1, 2], [3, 6], [4], [5]) : 0.6851871334
116 : ([1], [2], [3, 6], [4], [5]) : 0.6734888747
117 : ([1, 2, 6], [3, 4, 5]) : 0.9470159714
118 : ([1, 2, 6], [3], [4, 5]) : 0.9413999643
119 : ([1, 2, 6], [3, 5], [4]) : 0.6989898761
120 : ([1, 2, 6], [3, 4], [5]) : 0.7005585315
121 : ([1, 2, 6], [3], [4], [5]) : 0.6913407626
122 : ([1, 3, 4, 5], [2, 6]) : 0.9494700079
123 : ([1], [2, 6], [3, 4, 5]) : 0.9434319442
124 : ([1, 4, 5], [2, 6], [3]) : 0.9404361236
125 : ([1, 3], [2, 6], [4, 5]) : 0.9382057420
126 : ([1], [2, 6], [3], [4, 5]) : 0.9377140085
127 : ([1, 3, 5], [2, 6], [4]) : 0.6845266116
128 : ([1, 4], [2, 6], [3, 5]) : 0.6657056395
129 : ([1], [2, 6], [3, 5], [4]) : 0.6608245262
130 : ([1, 5], [2, 6], [3, 4]) : 0.6685714253
131 : ([1, 5], [2, 6], [3], [4]) : 0.6604405344
132 : ([1, 3, 4], [2, 6], [5]) : 0.6828848744
133 : ([1], [2, 6], [3, 4], [5]) : 0.6612087254
134 : ([1, 4], [2, 6], [3], [5]) : 0.6571727335
135 : ([1, 3], [2, 6], [4], [5]) : 0.6577933325
136 : ([1], [2, 6], [3], [4], [5]) : 0.6533865293
137 : ([1, 6], [2, 3, 4, 5]) : 0.9524956333
138 : ([1, 6], [2], [3, 4, 5]) : 0.9433004326
139 : ([1, 6], [2, 4, 5], [3]) : 0.9432067138
140 : ([1, 6], [2, 3], [4, 5]) : 0.9398812805
141 : ([1, 6], [2], [3], [4, 5]) : 0.9378798844
142 : ([1, 6], [2, 3, 5], [4]) : 0.7005557081
143 : ([1, 6], [2, 4], [3, 5]) : 0.6803566181
144 : ([1, 6], [2], [3, 5], [4]) : 0.6518038727
145 : ([1, 6], [2, 5], [3, 4]) : 0.6590542165
146 : ([1, 6], [2, 5], [3], [4]) : 0.6503553445
147 : ([1, 6], [2, 3, 4], [5]) : 0.7153009905
148 : ([1, 6], [2], [3, 4], [5]) : 0.6530633806
149 : ([1, 6], [2, 4], [3], [5]) : 0.6712175397
150 : ([1, 6], [2, 3], [4], [5]) : 0.6473404364
151 : ([1, 6], [2], [3], [4], [5]) : 0.6435957546
152 : ([1, 2, 3, 4, 5], [6]) : 0.9629453725
153 : ([1], [2, 3, 4, 5], [6]) : 0.9510297193
154 : ([1, 3, 4, 5], [2], [6]) : 0.9480546562
155 : ([1, 2], [3, 4, 5], [6]) : 0.9424646004
156 : ([1], [2], [3, 4, 5], [6]) : 0.9417192435
157 : ([1, 2, 4, 5], [3], [6]) : 0.9484435369
158 : ([1, 3], [2, 4, 5], [6]) : 0.9412972614
159 : ([1], [2, 4, 5], [3], [6]) : 0.9409380985
160 : ([1, 4, 5], [2, 3], [6]) : 0.9399899103
161 : ([1, 4, 5], [2], [3], [6]) : 0.9380947356
162 : ([1, 2, 3], [4, 5], [6]) : 0.9395828723
163 : ([1], [2, 3], [4, 5], [6]) : 0.9372748267
164 : ([1, 3], [2], [4, 5], [6]) : 0.9357037077
165 : ([1, 2], [3], [4, 5], [6]) : 0.9359985635
166 : ([1], [2], [3], [4, 5], [6]) : 0.9353315214
167 : ([1, 2, 3, 5], [4], [6]) : 0.7659624951
168 : ([1, 4], [2, 3, 5], [6]) : 0.7074547093
169 : ([1], [2, 3, 5], [4], [6]) : 0.6976337549
170 : ([1, 3, 5], [2, 4], [6]) : 0.6996241212
171 : ([1, 3, 5], [2], [4], [6]) : 0.6732145942
172 : ([1, 2, 4], [3, 5], [6]) : 0.7062864665
173 : ([1], [2, 4], [3, 5], [6]) : 0.6778054502
174 : ([1, 4], [2], [3, 5], [6]) : 0.6543444233
175 : ([1, 2], [3, 5], [4], [6]) : 0.6631633736
176 : ([1], [2], [3, 5], [4], [6]) : 0.6492517015
177 : ([1, 2, 5], [3, 4], [6]) : 0.6953284273
178 : ([1, 2, 5], [3], [4], [6]) : 0.6880760890
179 : ([1, 3, 4], [2, 5], [6]) : 0.6762157873
180 : ([1], [2, 5], [3, 4], [6]) : 0.6572565638
181 : ([1, 4], [2, 5], [3], [6]) : 0.6535605452
182 : ([1, 3], [2, 5], [4], [6]) : 0.6511633594
183 : ([1], [2, 5], [3], [4], [6]) : 0.6481726388
184 : ([1, 5], [2, 3, 4], [6]) : 0.7217811102
185 : ([1, 5], [2], [3, 4], [6]) : 0.6593204947
186 : ([1, 5], [2, 4], [3], [6]) : 0.6751185158
187 : ([1, 5], [2, 3], [4], [6]) : 0.6565020681
188 : ([1, 5], [2], [3], [4], [6]) : 0.6496499022
189 : ([1, 2, 3, 4], [5], [6]) : 0.7524303091
190 : ([1], [2, 3, 4], [5], [6]) : 0.7142605942
191 : ([1, 3, 4], [2], [5], [6]) : 0.6714199257
192 : ([1, 2], [3, 4], [5], [6]) : 0.6664305138
193 : ([1], [2], [3, 4], [5], [6]) : 0.6506998741
194 : ([1, 2, 4], [3], [5], [6]) : 0.6983853790
195 : ([1, 3], [2, 4], [5], [6]) : 0.6739738680
196 : ([1], [2, 4], [3], [5], [6]) : 0.6687009399
197 : ([1, 4], [2, 3], [5], [6]) : 0.6504152709
198 : ([1, 4], [2], [3], [5], [6]) : 0.6457748396
199 : ([1, 2, 3], [4], [5], [6]) : 0.6830207053
200 : ([1], [2, 3], [4], [5], [6]) : 0.6444069288
201 : ([1, 3], [2], [4], [5], [6]) : 0.6442712188
202 : ([1, 2], [3], [4], [5], [6]) : 0.6569343060
203 : ([1], [2], [3], [4], [5], [6]) : 0.6408714814
python -u script.py 1 > script-model-1.out
python -u script.py 2 > script-model-2.out
python -u script.py 3 > script-model-3.out
python -u script.py 4 > script-model-4.out
python -u script.py 5 > script-model-5.out
python -u script.py 6 > script-model-6.out
python -u script.py 7 > script-model-7.out
python -u script.py 8 > script-model-8.out
python -u script.py 9 > script-model-9.out
python -u script.py 10 > script-model-10.out
