<function model9 at 0x7f7ab753a488>
=== Selected Model: 9 ===
99 : ([1, 3, 6], [2, 5], [4]) : 0.9726753799
100 : ([1, 3, 6], [2, 4], [5]) : 0.9722742558
101 : ([1, 3, 6], [2], [4], [5]) : 0.9720741800
102 : ([1, 2, 4, 5], [3, 6]) : 0.9742354619
103 : ([1], [2, 4, 5], [3, 6]) : 0.9728073721
104 : ([1, 4, 5], [2], [3, 6]) : 0.9725066630
105 : ([1, 2], [3, 6], [4, 5]) : 0.9727205758
106 : ([1], [2], [3, 6], [4, 5]) : 0.9720616230
107 : ([1, 2, 5], [3, 6], [4]) : 0.9735157163
108 : ([1, 4], [2, 5], [3, 6]) : 0.9726675390
109 : ([1], [2, 5], [3, 6], [4]) : 0.9724761925
110 : ([1, 5], [2, 4], [3, 6]) : 0.9720873651
111 : ([1, 5], [2], [3, 6], [4]) : 0.9719403037
112 : ([1, 2, 4], [3, 6], [5]) : 0.9731808725
113 : ([1], [2, 4], [3, 6], [5]) : 0.9719982110
114 : ([1, 4], [2], [3, 6], [5]) : 0.9721072018
115 : ([1, 2], [3, 6], [4], [5]) : 0.9724102165
116 : ([1], [2], [3, 6], [4], [5]) : 0.9718172330
117 : ([1, 2, 6], [3, 4, 5]) : 0.9728314603
118 : ([1, 2, 6], [3], [4, 5]) : 0.9729163447
119 : ([1, 2, 6], [3, 5], [4]) : 0.9725963188
120 : ([1, 2, 6], [3, 4], [5]) : 0.9725784989
121 : ([1, 2, 6], [3], [4], [5]) : 0.9726531326
122 : ([1, 3, 4, 5], [2, 6]) : 0.9727467710
123 : ([1], [2, 6], [3, 4, 5]) : 0.9722231597
124 : ([1, 4, 5], [2, 6], [3]) : 0.9727176936
125 : ([1, 3], [2, 6], [4, 5]) : 0.9723306291
126 : ([1], [2, 6], [3], [4, 5]) : 0.9723016073
127 : ([1, 3, 5], [2, 6], [4]) : 0.9722374086
128 : ([1, 4], [2, 6], [3, 5]) : 0.9722886466
129 : ([1], [2, 6], [3, 5], [4]) : 0.9720392011
130 : ([1, 5], [2, 6], [3, 4]) : 0.9721500702
131 : ([1, 5], [2, 6], [3], [4]) : 0.9722143422
132 : ([1, 3, 4], [2, 6], [5]) : 0.9723410735
133 : ([1], [2, 6], [3, 4], [5]) : 0.9720200773
134 : ([1, 4], [2, 6], [3], [5]) : 0.9723437060
135 : ([1, 3], [2, 6], [4], [5]) : 0.9721246993
136 : ([1], [2, 6], [3], [4], [5]) : 0.9720869430
137 : ([1, 6], [2, 3, 4, 5]) : 0.9783279664
138 : ([1, 6], [2], [3, 4, 5]) : 0.9720621259
139 : ([1, 6], [2, 4, 5], [3]) : 0.9728993684
140 : ([1, 6], [2, 3], [4, 5]) : 0.9781307544
141 : ([1, 6], [2], [3], [4, 5]) : 0.9721500812
142 : ([1, 6], [2, 3, 5], [4]) : 0.9782187252
143 : ([1, 6], [2, 4], [3, 5]) : 0.9720306926
144 : ([1, 6], [2], [3, 5], [4]) : 0.9718605087
145 : ([1, 6], [2, 5], [3, 4]) : 0.9725179120
146 : ([1, 6], [2, 5], [3], [4]) : 0.9725759436
147 : ([1, 6], [2, 3, 4], [5]) : 0.9781285204
148 : ([1, 6], [2], [3, 4], [5]) : 0.9718404762
149 : ([1, 6], [2, 4], [3], [5]) : 0.9720775061
150 : ([1, 6], [2, 3], [4], [5]) : 0.9780769666
151 : ([1, 6], [2], [3], [4], [5]) : 0.9719122675
152 : ([1, 2, 3, 4, 5], [6]) : 0.9787431367
153 : ([1], [2, 3, 4, 5], [6]) : 0.9781583549
154 : ([1, 3, 4, 5], [2], [6]) : 0.9724937361
155 : ([1, 2], [3, 4, 5], [6]) : 0.9726259396
156 : ([1], [2], [3, 4, 5], [6]) : 0.9719622956
157 : ([1, 2, 4, 5], [3], [6]) : 0.9742300776
158 : ([1, 3], [2, 4, 5], [6]) : 0.9728779507
159 : ([1], [2, 4, 5], [3], [6]) : 0.9728080327
160 : ([1, 4, 5], [2, 3], [6]) : 0.9780166579
161 : ([1, 4, 5], [2], [3], [6]) : 0.9724830059
162 : ([1, 2, 3], [4, 5], [6]) : 0.9782279490
163 : ([1], [2, 3], [4, 5], [6]) : 0.9779583448
164 : ([1, 3], [2], [4, 5], [6]) : 0.9720569662
165 : ([1, 2], [3], [4, 5], [6]) : 0.9727142608
166 : ([1], [2], [3], [4, 5], [6]) : 0.9720476805
167 : ([1, 2, 3, 5], [4], [6]) : 0.9784791089
168 : ([1, 4], [2, 3, 5], [6]) : 0.9780412136
169 : ([1], [2, 3, 5], [4], [6]) : 0.9780480958
170 : ([1, 3, 5], [2, 4], [6]) : 0.9721251656
171 : ([1, 3, 5], [2], [4], [6]) : 0.9719262234
172 : ([1, 2, 4], [3, 5], [6]) : 0.9730989518
173 : ([1], [2, 4], [3, 5], [6]) : 0.9719505945
174 : ([1, 4], [2], [3, 5], [6]) : 0.9720375923
175 : ([1, 2], [3, 5], [4], [6]) : 0.9723479023
176 : ([1], [2], [3, 5], [4], [6]) : 0.9717560853
177 : ([1, 2, 5], [3, 4], [6]) : 0.9734321523
178 : ([1, 2, 5], [3], [4], [6]) : 0.9735079667
179 : ([1, 3, 4], [2, 5], [6]) : 0.9726726289
180 : ([1], [2, 5], [3, 4], [6]) : 0.9724122058
181 : ([1, 4], [2, 5], [3], [6]) : 0.9726583735
182 : ([1, 3], [2, 5], [4], [6]) : 0.9725022655
183 : ([1], [2, 5], [3], [4], [6]) : 0.9724691010
184 : ([1, 5], [2, 3, 4], [6]) : 0.9779614106
185 : ([1, 5], [2], [3, 4], [6]) : 0.9718598670
186 : ([1, 5], [2, 4], [3], [6]) : 0.9720834694
187 : ([1, 5], [2, 3], [4], [6]) : 0.9779122247
188 : ([1, 5], [2], [3], [4], [6]) : 0.9719269505
189 : ([1, 2, 3, 4], [5], [6]) : 0.9783690707
190 : ([1], [2, 3, 4], [5], [6]) : 0.9779642076
191 : ([1, 3, 4], [2], [5], [6]) : 0.9720769771
192 : ([1, 2], [3, 4], [5], [6]) : 0.9723342608
193 : ([1], [2], [3, 4], [5], [6]) : 0.9717403658
194 : ([1, 2, 4], [3], [5], [6]) : 0.9731803066
195 : ([1, 3], [2, 4], [5], [6]) : 0.9720649843
196 : ([1], [2, 4], [3], [5], [6]) : 0.9720005997
197 : ([1, 4], [2, 3], [5], [6]) : 0.9779148474
198 : ([1, 4], [2], [3], [5], [6]) : 0.9720985083
199 : ([1, 2, 3], [4], [5], [6]) : 0.9781491280
200 : ([1], [2, 3], [4], [5], [6]) : 0.9779056444
201 : ([1, 3], [2], [4], [5], [6]) : 0.9718278787
202 : ([1, 2], [3], [4], [5], [6]) : 0.9724099360
203 : ([1], [2], [3], [4], [5], [6]) : 0.9718102816
python -u script.py 1 > script-model-1.out
python -u script.py 2 > script-model-2.out
python -u script.py 3 > script-model-3.out
python -u script.py 4 > script-model-4.out
python -u script.py 5 > script-model-5.out
python -u script.py 6 > script-model-6.out
python -u script.py 7 > script-model-7.out
python -u script.py 8 > script-model-8.out
python -u script.py 9 > script-model-9.out
python -u script.py 10 > script-model-10.out
