1 : ([1, 2, 3, 4, 5, 6],) : 0.8003844935
2 : ([1], [2, 3, 4, 5, 6]) : 0.5800297154
3 : ([1, 3, 4, 5, 6], [2]) : 0.4539306415
4 : ([1, 2], [3, 4, 5, 6]) : 0.3154137144
5 : ([1], [2], [3, 4, 5, 6]) : 0.2863669867
6 : ([1, 2, 4, 5, 6], [3]) : 0.4270001826
7 : ([1, 3], [2, 4, 5, 6]) : 0.3085085539
8 : ([1], [2, 4, 5, 6], [3]) : 0.2751425261
9 : ([1, 4, 5, 6], [2, 3]) : 0.5168568813
10 : ([1, 4, 5, 6], [2], [3]) : 0.3052003196
11 : ([1, 2, 3], [4, 5, 6]) : 0.6940202108
12 : ([1], [2, 3], [4, 5, 6]) : 0.4514657707
13 : ([1, 3], [2], [4, 5, 6]) : 0.2228815565
14 : ([1, 2], [3], [4, 5, 6]) : 0.2138600816
15 : ([1], [2], [3], [4, 5, 6]) : 0.1876550654
16 : ([1, 2, 3, 5, 6], [4]) : 0.7403041852
17 : ([1, 4], [2, 3, 5, 6]) : 0.5083333680
18 : ([1], [2, 3, 5, 6], [4]) : 0.4978760485
19 : ([1, 3, 5, 6], [2, 4]) : 0.3152994389
20 : ([1, 3, 5, 6], [2], [4]) : 0.3064632243
21 : ([1, 2, 4], [3, 5, 6]) : 0.2684395831
22 : ([1], [2, 4], [3, 5, 6]) : 0.2094598429
23 : ([1, 4], [2], [3, 5, 6]) : 0.2235113490
24 : ([1, 2], [3, 5, 6], [4]) : 0.2316681177
25 : ([1], [2], [3, 5, 6], [4]) : 0.2047655688
26 : ([1, 2, 5, 6], [3, 4]) : 0.2839936263
27 : ([1, 2, 5, 6], [3], [4]) : 0.2808822744
28 : ([1, 3, 4], [2, 5, 6]) : 0.2542614077
29 : ([1], [2, 5, 6], [3, 4]) : 0.1925206354
30 : ([1, 4], [2, 5, 6], [3]) : 0.2039367171
31 : ([1, 3], [2, 5, 6], [4]) : 0.2269773209
32 : ([1], [2, 5, 6], [3], [4]) : 0.1880897957
33 : ([1, 5, 6], [2, 3, 4]) : 0.4837034274
34 : ([1, 5, 6], [2], [3, 4]) : 0.1935324618
35 : ([1, 5, 6], [2, 4], [3]) : 0.1966593871
36 : ([1, 5, 6], [2, 3], [4]) : 0.4620347160
37 : ([1, 5, 6], [2], [3], [4]) : 0.1890479781
38 : ([1, 2, 3, 4], [5, 6]) : 0.6875477924
39 : ([1], [2, 3, 4], [5, 6]) : 0.4522985039
40 : ([1, 3, 4], [2], [5, 6]) : 0.2228149239
41 : ([1, 2], [3, 4], [5, 6]) : 0.1793977771
42 : ([1], [2], [3, 4], [5, 6]) : 0.1537425567
43 : ([1, 2, 4], [3], [5, 6]) : 0.2156738299
44 : ([1, 3], [2, 4], [5, 6]) : 0.1909516616
45 : ([1], [2, 4], [3], [5, 6]) : 0.1548228775
46 : ([1, 4], [2, 3], [5, 6]) : 0.4359648975
47 : ([1, 4], [2], [3], [5, 6]) : 0.1698328321
48 : ([1, 2, 3], [4], [5, 6]) : 0.6734783839
49 : ([1], [2, 3], [4], [5, 6]) : 0.4283810437
50 : ([1, 3], [2], [4], [5, 6]) : 0.1839074647
51 : ([1, 2], [3], [4], [5, 6]) : 0.1743940281
52 : ([1], [2], [3], [4], [5, 6]) : 0.1479845650
53 : ([1, 2, 3, 4, 6], [5]) : 0.7383100962
54 : ([1, 5], [2, 3, 4, 6]) : 0.5087146344
55 : ([1], [2, 3, 4, 6], [5]) : 0.4944226519
56 : ([1, 3, 4, 6], [2, 5]) : 0.3419802815
57 : ([1, 3, 4, 6], [2], [5]) : 0.3272346123
58 : ([1, 2, 5], [3, 4, 6]) : 0.2631088564
59 : ([1], [2, 5], [3, 4, 6]) : 0.1986799865
60 : ([1, 5], [2], [3, 4, 6]) : 0.1973216494
61 : ([1, 2], [3, 4, 6], [5]) : 0.2105558985
62 : ([1], [2], [3, 4, 6], [5]) : 0.1817836419
63 : ([1, 2, 4, 6], [3, 5]) : 0.3224127713
64 : ([1, 2, 4, 6], [3], [5]) : 0.3133909037
65 : ([1, 3, 5], [2, 4, 6]) : 0.2572674193
66 : ([1], [2, 4, 6], [3, 5]) : 0.1916970694
67 : ([1, 5], [2, 4, 6], [3]) : 0.1907367052
68 : ([1, 3], [2, 4, 6], [5]) : 0.2086220371
69 : ([1], [2, 4, 6], [3], [5]) : 0.1821464602
70 : ([1, 4, 6], [2, 3, 5]) : 0.5097699608
71 : ([1, 4, 6], [2], [3, 5]) : 0.2329617060
72 : ([1, 4, 6], [2, 5], [3]) : 0.2338103787
73 : ([1, 4, 6], [2, 3], [5]) : 0.4628660588
74 : ([1, 4, 6], [2], [3], [5]) : 0.2151985336
75 : ([1, 2, 3, 5], [4, 6]) : 0.7089550925
76 : ([1], [2, 3, 5], [4, 6]) : 0.4728044890
77 : ([1, 3, 5], [2], [4, 6]) : 0.2283652319
78 : ([1, 2], [3, 5], [4, 6]) : 0.1891781720
79 : ([1], [2], [3, 5], [4, 6]) : 0.1572999516
80 : ([1, 2, 5], [3], [4, 6]) : 0.2278776043
81 : ([1, 3], [2, 5], [4, 6]) : 0.2059396873
82 : ([1], [2, 5], [3], [4, 6]) : 0.1637054625
83 : ([1, 5], [2, 3], [4, 6]) : 0.4480558920
84 : ([1, 5], [2], [3], [4, 6]) : 0.1629858805
85 : ([1, 2, 3], [4, 6], [5]) : 0.6764255219
86 : ([1], [2, 3], [4, 6], [5]) : 0.4299640188
87 : ([1, 3], [2], [4, 6], [5]) : 0.1792860680
88 : ([1, 2], [3], [4, 6], [5]) : 0.1724107588
89 : ([1], [2], [3], [4, 6], [5]) : 0.1412702594
90 : ([1, 2, 3, 6], [4, 5]) : 0.7163208450
91 : ([1, 2, 3, 6], [4], [5]) : 0.7092208916
92 : ([1, 4, 5], [2, 3, 6]) : 0.4834987659
93 : ([1], [2, 3, 6], [4, 5]) : 0.4524026332
94 : ([1, 5], [2, 3, 6], [4]) : 0.4626174818
95 : ([1, 4], [2, 3, 6], [5]) : 0.4552700152
96 : ([1], [2, 3, 6], [4], [5]) : 0.4470046017
97 : ([1, 3, 6], [2, 4, 5]) : 0.3025182204
98 : ([1, 3, 6], [2], [4, 5]) : 0.2407779467
99 : ([1, 3, 6], [2, 5], [4]) : 0.2485047378
100 : ([1, 3, 6], [2, 4], [5]) : 0.2352789719
101 : ([1, 3, 6], [2], [4], [5]) : 0.2232355051
102 : ([1, 2, 4, 5], [3, 6]) : 0.3107484661
103 : ([1], [2, 4, 5], [3, 6]) : 0.2210912377
104 : ([1, 4, 5], [2], [3, 6]) : 0.2121541761
105 : ([1, 2], [3, 6], [4, 5]) : 0.1861367593
106 : ([1], [2], [3, 6], [4, 5]) : 0.1576805677
107 : ([1, 2, 5], [3, 6], [4]) : 0.2284631418
108 : ([1, 4], [2, 5], [3, 6]) : 0.1833400566
109 : ([1], [2, 5], [3, 6], [4]) : 0.1637793651
110 : ([1, 5], [2, 4], [3, 6]) : 0.1710011734
111 : ([1, 5], [2], [3, 6], [4]) : 0.1632375983
112 : ([1, 2, 4], [3, 6], [5]) : 0.2085621175
113 : ([1], [2, 4], [3, 6], [5]) : 0.1438996496
114 : ([1, 4], [2], [3, 6], [5]) : 0.1600194851
115 : ([1, 2], [3, 6], [4], [5]) : 0.1694525255
116 : ([1], [2], [3, 6], [4], [5]) : 0.1380133256
117 : ([1, 2, 6], [3, 4, 5]) : 0.2628386349
118 : ([1, 2, 6], [3], [4, 5]) : 0.2221493280
119 : ([1, 2, 6], [3, 5], [4]) : 0.2236230747
120 : ([1, 2, 6], [3, 4], [5]) : 0.2106076287
121 : ([1, 2, 6], [3], [4], [5]) : 0.2062349447
122 : ([1, 3, 4, 5], [2, 6]) : 0.3133130233
123 : ([1], [2, 6], [3, 4, 5]) : 0.2020715410
124 : ([1, 4, 5], [2, 6], [3]) : 0.2135612741
125 : ([1, 3], [2, 6], [4, 5]) : 0.2015655789
126 : ([1], [2, 6], [3], [4, 5]) : 0.1568379080
127 : ([1, 3, 5], [2, 6], [4]) : 0.2324698585
128 : ([1, 4], [2, 6], [3, 5]) : 0.1772907346
129 : ([1], [2, 6], [3, 5], [4]) : 0.1542389025
130 : ([1, 5], [2, 6], [3, 4]) : 0.1655086473
131 : ([1, 5], [2, 6], [3], [4]) : 0.1599486183
132 : ([1, 3, 4], [2, 6], [5]) : 0.2149918636
133 : ([1], [2, 6], [3, 4], [5]) : 0.1431166031
134 : ([1, 4], [2, 6], [3], [5]) : 0.1603595475
135 : ([1, 3], [2, 6], [4], [5]) : 0.1801888083
136 : ([1], [2, 6], [3], [4], [5]) : 0.1366382251
137 : ([1, 6], [2, 3, 4, 5]) : 0.5217440731
138 : ([1, 6], [2], [3, 4, 5]) : 0.2088595178
139 : ([1, 6], [2, 4, 5], [3]) : 0.2351438008
140 : ([1, 6], [2, 3], [4, 5]) : 0.4375139476
141 : ([1, 6], [2], [3], [4, 5]) : 0.1676751512
142 : ([1, 6], [2, 3, 5], [4]) : 0.4744761053
143 : ([1, 6], [2, 4], [3, 5]) : 0.1726125469
144 : ([1, 6], [2], [3, 5], [4]) : 0.1674086360
145 : ([1, 6], [2, 5], [3, 4]) : 0.1798667549
146 : ([1, 6], [2, 5], [3], [4]) : 0.1759778107
147 : ([1, 6], [2, 3, 4], [5]) : 0.4558678779
148 : ([1, 6], [2], [3, 4], [5]) : 0.1575927227
149 : ([1, 6], [2, 4], [3], [5]) : 0.1579258172
150 : ([1, 6], [2, 3], [4], [5]) : 0.4310426962
151 : ([1, 6], [2], [3], [4], [5]) : 0.1513854875
152 : ([1, 2, 3, 4, 5], [6]) : 0.7462028994
153 : ([1], [2, 3, 4, 5], [6]) : 0.5152047562
